TAP_service,table_name,description
VizieR,J/A+A/663/A59/tablea12,"UV-SED fits (table A1) and absorption lines (table A2) results for the LzLCS sample ( Saldana-Lopez A., Schaerer D., Chisholm J., et al.)"
VizieR,J/ApJ/748/124/table2,"X-ray properties of CDF-S galaxies ( Young M., Brandt W.N., Xue Y.Q., Paolillo M., Alexander D.M., Bauer F.E., Lehmer B.D., Luo B., Shemmer O., Schneider D.P., Vignali C.)"
VizieR,J/A+A/663/A59/tablea34,"UV-SED fits (table A3) and absorption lines (table A4) results for the literature sample ( Saldana-Lopez A., Schaerer D., Chisholm J., et al.)"
VizieR,J/MNRAS/443/2679/table1,"Catalogue of spectroscopic redshifts ( Balogh M.L., Mcgee S.L., Mok A., Wilman D.J., Finoguenov A., Bower R.G., Mulchaey J.S., Parker L.C., Tanaka M.)"
VizieR,J/ApJS/183/295/catalog,"Photometry, redshifts and rest-frame photometry catalog ( Taylor E.N., Franx M., Van Dokkum P.G., et al.)"
VizieR,J/ApJ/764/135/table3,"BL Lac spectral properties ( Shaw M.S., Romani R.W., Cotter G., Healey S.E., Michelson P.F., Readhead A.C.S., Richards J.L., Max-Moerbeck W., King O.G., Potter W.J.)"
VizieR,II/283/sncat,"List of SNe arranged in chronological order ( Barbon R., Buondi V., Cappellaro E., Turatto M.)"
VizieR,J/MNRAS/398/109/iifsczv4,"IIFSCz Catalogue (MRR+LW 18/04/09) ( Wang L., Rowan-Robinson M.)"
VizieR,VII/279/dr12q,"SDSS-DR12 Quasar Catalog ( Paris I., Petitjean P., Ross N.P., et al.)"
VizieR,J/ApJ/835/280/galaxies,"SDSS and WISE-related physical parameters of compact group galaxies (tables 1 and 2) ( Lee G.-H., Hwang H.S., Sohn J., Lee M.G.)"
VizieR,J/MNRAS/401/1151/catalog,"6dFGS-RASS AGN catalog ( Mahony E.K., Croom S.M., Boyle B.J., Edge A.C., Mauch T., Sadler E.M.)"
VizieR,J/ApJS/186/378/table5,"Catalog of sources in the 22-month Swift-BAT survey (2004-December to 2006-October) ( Tueller J., Baumgartner W.H., Markwardt C.B., et al.)"
VizieR,J/A+A/678/A25/4cdfsdi,"VANDELS DR4 CDFS field, direct integration ( Talia M., Schreiber C., Garilli B., et al.)"
